Uranomys ruddi	オオバネズミ
Dasyprocta leporina	ウサギアグーチ
Neotoma albigula	ノドジロウッドラット
Neotoma floridana	フロリダウッドラット
Peromyscus eremicus	サボテンシロアシマウス
Peromyscus gossypinus	ワタシロアシマウス
Peromyscus melanotis	クロミミシロアシマウス
Peromyscus polionotus	ハイイロシロアシマウス
Sigmodon hispidus	アラゲコトンラット
Sigmodon mascotensis	マスコットコトンラット
Peromyscus californicus	カリフォルニアシロアシマウス
Proechimys simonsi	ヘンディートゲネズミ
Spermophilus tridecemlineatus	ジュウサンセンジリス
Coendou bicolor	フタイロオマキヤマアラシ
Euryzygomatomys spinosus	グイラトゲネズミ
Thrichomys apereoides	イノシシトゲネズミ
Reithrodontomys megalotis	セイブカヤマウス
Peromyscus sejugis	サンタクルスシロアシマウス
Peromyscus slevini	サンタカタリナシロアシマウス
Tamias canipes	ハイアシシマリス
Tamias dorsalis	ガケシマリス
Tamias minimus	チビシマリス
Tamias quadrivittatus	コロラドシマリス
Spermophilus franklinii	フランクリンジリス
Spermophilus spilosoma	ホシジリス
Spermophilus variegatus	カワリイワジリス
Sciurus stramineus	ムギワラリス
Tamias striatus	トウブシマリス
Microsciurus flaviventer	キバラコビトリス
Cynomys ludovicianus	オグロプレーリードッグ
Glaucomys sabrinus	オオアメリカモモンガ
Sciurillus pusillus	ナンベイマメリス
Ammospermophilus interpres	テキサスレイヨウジリス
Ammospermophilus harrisii	ハリスレイヨウジリス
Ammospermophilus leucurus	オジロレイヨウジリス
Microtus arvalis	ユーラシアハタネズミ
Phodopus campbelli	キャンベルキヌゲネズミ
Paraxerus cepapi	スミスヤブリス
Neacomys spinosus	トゲコメネズミ
Oryzomys macconnelli	マコーネルコメネズミ
Oryzomys yunganus	ユンガコメネズミ
Oryzomys nitidus	ハレギコメネズミ
Psammomys obesus	デブスナネズミ
Sciurus sp.	リス属
Jaculus orientalis	オオミユビトビネズミ
Tachyoryctes splendens	アフリカタケネズミ
Dipodomys agilis	クロカンガルーネズミ
Thomomys mazama	マザマホリネズミ
Thomomys monticola	ヤマホリネズミ
Thomomys umbrinus	メキシコホリネズミ
Spermophilus columbianus	コロンビアジリス
Jaculus jaculus	ヒメミユビトビネズミ
Castor canadensis	アメリカビーバー
Aplodontia rufa	ヤマビーバー
Graphiurus murinus	アフリカヤマネ
Lophuromys flavopunctatus	キボシブラシネズミ
Nesokia indica	チビオオニネズミ
Gerbillus henleyi	コビトケアシアレチネズミ
Menetes berdmorei	インドシナシマリス
Microtus nivalis	ヨーロッパユキハタネズミ
Nesomys rufus	アカアシナガマウス
